,Away_Team,Home_team,Away_Score,Home_Score,Away_Record,Home_Record,Drives
0,MIA,BUF,26,56,"10-6, 5-3 Away","13-3, 7-1 Home",29
1,NE,BUF,21,24,"2-5, 0-3 Away","6-2, 3-1 Home",19
2,NYJ,BUF,17,27,"0-1, 0-1 Away","1-0, 1-0 Home",22
3,KC,BUF,26,17,"5-1, 3-0 Away","4-2, 2-1 Home",18
4,LAC,BUF,17,27,"3-8, 1-5 Away","8-3, 5-1 Home",24
5,LAR,BUF,32,35,"2-1, 1-1 Away","3-0, 2-0 Home",19
6,SEA,BUF,34,44,"6-2, 2-2 Away","7-2, 4-1 Home",23
7,PIT,BUF,15,26,"11-2, 5-1 Away","10-3, 6-1 Home",25
8,BUF,MIA,31,28,"2-0, 1-0 Away","0-2, 0-1 Home",23
9,NE,MIA,12,22,"6-8, 2-6 Away","9-5, 5-3 Home",17
10,NYJ,MIA,0,24,"0-6, 0-3 Away","3-3, 1-2 Home",28
11,KC,MIA,33,27,"12-1, 7-0 Away","8-5, 4-3 Home",27
12,LAC,MIA,21,29,"2-7, 1-4 Away","6-3, 3-2 Home",22
13,LAR,MIA,17,28,"5-3, 2-3 Away","4-3, 2-2 Home",30
14,SEA,MIA,31,23,"4-0, 2-0 Away","1-3, 0-2 Home",20
15,CIN,MIA,7,19,"2-9-1, 0-6-1 Away","8-4, 4-2 Home",21
16,BUF,NE,38,9,"12-3, 6-2 Away","6-9, 4-3 Home",19
17,MIA,NE,11,21,"0-1, 0-1 Away","1-0, 1-0 Home",18
18,NYJ,NE,14,28,"2-14, 1-7 Away","7-9, 5-3 Home",21
19,DEN,NE,18,12,"2-3, 2-1 Away","2-3, 2-1 Home",22
20,LV,NE,20,36,"2-1, 1-1 Away","2-1, 2-0 Home",22
21,ARI,NE,17,20,"6-5, 3-3 Away","5-6, 4-2 Home",18
22,SF,NE,33,6,"4-3, 3-0 Away","2-4, 2-2 Home",18
23,BAL,NE,17,23,"6-3, 4-1 Away","4-5, 3-2 Home",19
24,BUF,NYJ,18,10,"5-2, 3-1 Away","0-7, 0-4 Home",19
25,MIA,NYJ,20,3,"7-4, 4-2 Away","0-11, 0-6 Home",22
26,NE,NYJ,30,27,"3-5, 1-3 Away","0-9, 0-5 Home",17
27,DEN,NYJ,37,28,"1-3, 1-1 Away","0-4, 0-2 Home",24
28,LV,NYJ,31,28,"7-5, 5-2 Away","0-12, 0-7 Home",24
29,ARI,NYJ,30,10,"3-2, 2-1 Away","0-5, 0-3 Home",22
30,SF,NYJ,31,13,"1-1, 1-0 Away","0-2, 0-1 Home",22
31,CLE,NYJ,16,23,"10-5, 5-3 Away","2-13, 1-7 Home",26
32,CIN,BAL,3,27,"1-3-1, 0-2-1 Away","4-1, 2-1 Home",24
33,CLE,BAL,6,38,"0-1, 0-1 Away","1-0, 1-0 Home",22
34,PIT,BAL,28,24,"7-0, 3-0 Away","5-2, 2-2 Home",22
35,JAX,BAL,14,40,"1-13, 0-7 Away","9-5, 4-3 Home",19
36,TEN,BAL,30,24,"7-3, 3-1 Away","6-4, 2-3 Home",20
37,DAL,BAL,17,34,"3-9, 1-5 Away","7-5, 3-3 Home",19
38,NYG,BAL,13,27,"5-10, 3-5 Away","10-5, 5-3 Home",17
39,KC,BAL,34,20,"3-0, 2-0 Away","2-1, 1-1 Home",21
40,BAL,CIN,38,3,"11-5, 6-2 Away","4-11-1, 3-5 Home",22
41,CLE,CIN,37,34,"5-2, 2-2 Away","1-5-1, 1-2 Home",18
42,PIT,CIN,17,27,"11-3, 5-2 Away","3-10-1, 3-4 Home",28
43,JAX,CIN,25,33,"1-3, 0-2 Away","1-2-1, 1-1 Home",21
44,TEN,CIN,20,31,"5-2, 2-1 Away","2-5-1, 2-2 Home",17
45,DAL,CIN,30,7,"4-9, 2-5 Away","2-10-1, 2-4 Home",17
46,NYG,CIN,19,17,"4-7, 2-4 Away","2-8-1, 2-3 Home",24
47,LAC,CIN,16,13,"1-0, 1-0 Away","0-1, 0-1 Home",25
48,BAL,CLE,47,42,"8-5, 5-2 Away","9-4, 5-2 Home",23
49,CIN,CLE,30,35,"0-2, 0-1 Away","1-1, 1-0 Home",19
50,PIT,CLE,22,24,"12-4, 5-3 Away","11-5, 6-2 Home",19
51,HOU,CLE,7,10,"2-7, 1-4 Away","6-3, 4-1 Home",16
52,IND,CLE,23,32,"3-2, 1-2 Away","4-1, 3-0 Home",20
53,PHI,CLE,17,22,"3-6-1, 1-4 Away","7-3, 5-1 Home",26
54,WSH,CLE,20,34,"1-2, 0-2 Away","2-1, 2-0 Home",23
55,LV,CLE,16,6,"4-3, 3-1 Away","5-3, 3-1 Home",13
56,BAL,PIT,14,19,"6-5, 4-2 Away","11-0, 6-0 Home",22
57,CIN,PIT,10,36,"2-6-1, 0-4-1 Away","9-0, 5-0 Home",28
58,CLE,PIT,7,38,"4-2, 1-2 Away","5-0, 4-0 Home",24
59,HOU,PIT,21,28,"0-3, 0-2 Away","3-0, 2-0 Home",21
